Population	Sample_no	Sample_id	Prediction	lat	lon
Abkhazians	1	GRC12076288	Abkhazians_0	39.530707055439116	46.885015601251986
Abkhazians	2	GRC12076300	Abkhazians_0	41.367504253465526	47.0145274096427
Abkhazians	3	GRC12076312	Ingush_3	42.91371395231912	39.059862375391155
Abkhazians	4	GRC12076324	Abkhazians_0	42.925067055954536	45.98934149619708
Altaians	1	GRC12076232	Altaians_4	46.098959709417386	65.96145912161731
Altaians	2	GRC12076245	Tatars_2	54.23556978213896	55.12339656094614
Altaians	3	GRC12076244	Altaians_3	50.32017467882443	87.47418075774539
Altaians	4	GRC12076256	Altaians_3	50.59395233427139	86.27965848595504
Altaians	5	GRC12076268	Altaians_3	50.56604292842356	86.39924186407588
Altaians	6	GRC12076280	Altaians_3	50.59685984822906	86.26713536943782
Altaians	7	GRC12076292	Altaians_3	50.459018731798295	86.81912592966141
Altaians	8	GRC12076304	Altaians_3	49.7492025950148	89.98521998287909
Altaians	9	GRC12076233	Altaians_4	50.59514072777728	86.2203180146456
Altaians	10	GRC12076257	Altaians_4	50.609854649893485	86.2102750576633
Altaians	11	GRC12076269	Altaians_4	50.605802313717284	86.22110481107158
Altaians	12	GRC12076281	Altaians_4	50.60976922316665	86.21038771655162
Altaians	13	GRC12076293	Altaians_4	50.60697215373608	86.21701309596969
Altaians	14	GRC12076305	Altaians_4	50.60898400774223	86.21179335660248
Altaians	15	GRC12076317	Altaians_4	50.6081481443363	86.2146310689783
Ambilobe_Madagascar	1	GRC12084554	Manakara_Madagascar_2	-22.125758118375913	47.69628837701447
Ambilobe_Madagascar	2	GRC12084555	Andilambe_Madagascar_0	-15.822972591638747	47.89211545797207
Ambilobe_Madagascar	3	GRC12084556	Ambilobe_Madagascar_3	-13.168345338042911	49.2797269164338
Ambilobe_Madagascar	4	GRC12084558	Ambilobe_Madagascar_3	-13.16190554869077	49.281689189710555
Andilambe_Madagascar	1	GRC12084551	Andilambe_Madagascar_0	-13.670237132259276	39.83274369030464
Andilambe_Madagascar	2	GRC12084552	Andilambe_Madagascar_0	-15.78960632830011	46.81846609576991
Andilambe_Madagascar	3	GRC12084553	Ambilobe_Madagascar_3	-13.449802804861733	49.182474950402366
Antananarivo_Madagascar	1	GRC12084544	Antananarivo_Madagascar_0	-18.44918816371105	47.721523216528034
Antananarivo_Madagascar	2	GRC12084545	Antananarivo_Madagascar_0	-18.875734163370538	47.53196731134157
Antananarivo_Madagascar	3	GRC12084546	Ambilobe_Madagascar_3	-13.520903332746187	49.134808062380486
Bermudian	1	GRC12084574	German_3	52.48651798107825	11.795937681254106
Bermudian	2	GRC12084587	Bermudian_1	32.79113024858212	-56.037719418744665
Bermudian	3	GRC12084576	Bermudian_2	30.690206005182013	-64.16110132210777
Bermudian	4	GRC12084577	Bermudian_2	32.066015633409485	-64.74441346180086
Bermudian	5	GRC12084578	Bermudian_2	29.893281151483038	-64.65960176062354
Bermudian	6	GRC12084588	Bermudian_2	31.99128811458539	-64.63202060581945
Bermudian	7	GRC12087852	Bermudian_2	32.171770203645956	-64.74356728481486
Bermudian	8	GRC12087856	Bermudian_2	29.268461390281505	-64.76205922869562
Bermudian	9	GRC12084575	Bermudian_3	29.887287340919332	-63.01501853917681
Bermudian	10	GRC12084585	Bermudian_3	32.29296548213919	-64.77796162640485
Bermudian	11	GRC12087853	Bermudian_3	32.1449986490849	-64.64704462467294
Bermudian	12	GRC12087854	Bermudian_3	31.741468891827704	-64.37402900842822
Bermudian	13	GRC12087857	Bermudian_3	32.22118522823921	-64.71696917275159
Bermudian	14	GRC12087850	Puerto_Rico_2	21.502080905195957	-65.5606388463407
Bermudian	15	GRC12087851	Bermudian_4	30.0253974702584	-64.14840934660373
Bermudian	16	GRC12087858	Bermudian_4	29.6039296628414	-59.68683422539981
Binjhal	1	GRC12081934	Binjhal_0	22.56662467639769	88.31869342377038
Binjhal	2	GRC12081996	Binjhal_0	22.566762596609113	88.34679157299273
Bulgaria	1	GRC10039197	Greek_1	40.030778263430086	23.05378815307604
Bulgaria	2	GRC11049092	Bulgaria_1	41.33789697196844	21.44278657411122
Bulgaria	3	GRC11069148	Bulgaria_1	41.94068414215087	22.864857761734147
Bulgaria	4	GRC10043360	Bulgaria_2	42.45422959904924	23.269928313894518
Bulgaria	5	GRC10047652	Bulgaria_2	42.4851188798179	23.279065463266946
Bulgaria	6	GRC012601	Bulgaria_3	42.81705757692515	23.814247362113225
Bulgaria	7	GRC10047943	Bulgaria_3	42.817394067868	23.814027814687343
Bulgaria	8	GRC001411	Bulgaria_4	42.958652129584614	24.034366962205322
Bulgaria	9	GRC008679	Bulgaria_4	42.43602418754192	23.229246380189306
Bulgaria	10	GRC010399	Bulgaria_4	43.06928860950595	24.210678529469348
Bulgaria	11	GRC013817	Bulgaria_4	42.58130912220813	23.411620296552126
Bulgaria	12	GRC014019	Bulgaria_4	43.09345345951937	24.24306465747166
Bulgaria	13	GRC11048780	Bulgaria_4	43.17577263290501	24.406933573572918
Bulgaria	14	GRC11054746	Bulgaria_4	42.8622948290506	23.804866370063298
Bulgaria	15	GRC12093367	Bulgaria_4	42.61816681869717	23.40944900272657
Chechens	1	GRC12076277	Ingush_3	43.074733802879386	45.07254516450504
Chechens	2	GRC12076253	Chechens_2	43.39773682465592	45.70655307061581
Chechens	3	GRC12076265	Chechens_2	43.398269833851145	45.70943190734074
Chechens	4	GRC12076241	Chechens_2	43.30142163614808	45.287445785013155
Chinese	1	GRC12076433	Chinese_1	39.54783729797696	116.22506302899338
Chinese	2	GRC12076434	Chinese_1	39.51139331471302	116.7350941377006
Chinese	3	GRC12076438	Chinese_1	39.54993687522455	116.2007881559101
Chinese	4	GRC12076427	Chinese_2	39.51169788760827	116.73799045318013
Chinese	5	GRC12076431	Chinese_2	39.52766611280327	116.51410601897783
Chinese	6	GRC12076432	Japan_1	38.05952627176421	137.16269689426852
Chinese	7	GRC12076435	Chinese_2	39.51853543407147	116.64212328730189
Chinese	8	GRC12076428	Japan_1	38.03644304148983	137.4874207165127
Chinese	9	GRC12076429	Japan_4	38.0391130473175	137.45010062745433
Chinese	10	GRC12076436	Chinese_3	39.51930813054523	116.63165909176881
Chinese	11	GRC12076430	Chinese_4	39.536080619746855	116.23956044618429
Chinese	12	GRC12076437	Chinese_4	39.51834900008103	116.20396535032022
Dane	1	GRC11074483	Dane_1	55.794267216693335	9.341585797270618
Dane	2	GRC11074486	Dane_1	55.76971605527809	9.250348356947104
Dane	3	GRC11074490	Dane_1	55.67703263938177	9.198972901297205
Dane	4	GRC11074493	Dane_1	55.760846850591854	9.598814533839068
Dane	5	GRC11074494	Dane_1	55.668678409620874	9.076262385893681
Dane	6	GRC11074495	Dane_1	55.904683579678334	9.719658485545828
Dane	7	GRC11074487	German_2	52.70229586812634	12.768130361702426
Dane	8	GRC11074496	Dane_2	55.37095109247324	9.598006220998268
Dane	9	GRC11074484	Dane_3	55.673722456806935	9.026538810329077
Dane	10	GRC11074488	Dane_3	55.78873037526093	9.337032902428902
Dane	11	GRC11074489	Dane_3	55.81937326852878	9.42007848109362
Dane	12	GRC11074492	Dane_3	55.779087192324525	9.309997222531308
Dane	13	GRC11074497	Dane_3	55.776177644346895	9.286440650810865
Dane	14	GRC11074485	Dane_4	55.99085542109101	10.015020450696548
Dane	15	GRC11074491	Dane_4	55.98537596117809	10.006600205633932
Egypt	1	GRC12076331	Kuwait_1	28.927840188196264	44.53906281883816
Egypt	2	GRC12076343	Egypt_2	26.837367580960866	30.764404959922967
Egypt	3	GRC12076345	Egypt_2	26.851731646531718	30.737519174627163
Egypt	4	GRC12076348	Egypt_2	26.893630920325844	30.64899333887231
Egypt	5	GRC12076414	Egypt_2	26.8466762646819	30.74541830121155
Egypt	6	GRC12076328	Egypt_3	26.846322672885986	30.75036876342263
Egypt	7	GRC12076330	Egypt_3	26.834733336588467	30.772178336018232
Egypt	8	GRC12076344	Egypt_3	26.860351798993115	30.722192889600926
Egypt	9	GRC12076347	Egypt_3	26.827627522520523	30.78845673386613
Egypt	10	GRC12076356	Egypt_3	26.83574768726531	30.77772241008648
Egypt	11	GRC12076413	Egypt_3	26.834584192824046	30.78054828767187
Egypt	12	GRC12076329	Egypt_4	26.840036453732285	30.77058447869458
Egypt	13	GRC12076346	Egypt_4	26.897202583739645	30.673611195558973
